id,country_name,country_code,currency_Code,currency_name,visa_requirement,average_travel_cost,description,image_url
193,RUSSIAN FEDERATION (THE),RUS,RUB,Russian Ruble,,,,
194,RWANDA,RWA,RWF,Rwanda Franc,,,,
195,SAINT BARTHÉLEMY,BLM,EUR,Euro,,,,
196,SAINT HELENA| ASCENSION AND TRISTAN DA CUNHA,SHN,SHP,Saint Helena Pound,,,,
197,SAINT KITTS AND NEVIS,KNA,XCD,East Caribbean Dollar,,,,
198,SAINT LUCIA,LCA,XCD,East Caribbean Dollar,,,,
199,SAINT MARTIN (FRENCH PART),MAF,EUR,Euro,,,,
200,SAINT PIERRE AND MIQUELON,SPM,EUR,Euro,,,,
201,SAINT VINCENT AND THE GRENADINES,VCT,XCD,East Caribbean Dollar,,,,
202,SAMOA,WSM,WST,Tala,,,,
203,SAN MARINO,SMR,EUR,Euro,,,,
204,SAO TOME AND PRINCIPE,STP,STN,Dobra,,,,
205,SAUDI ARABIA,SAU,SAR,Saudi Riyal,,,,
206,SENEGAL,SEN,XOF,CFA Franc BCEAO,,,,
207,SERBIA,SRB,RSD,Serbian Dinar,,,,
208,SEYCHELLES,SYC,SCR,Seychelles Rupee,,,,
209,SIERRA LEONE,SLE,SLL,Leone,,,,
210,SINGAPORE,SGP,SGD,Singapore Dollar,,,,
211,SINT MAARTEN (DUTCH PART),SXM,ANG,Netherlands Antillean Guilder,,,,
212,SLOVAKIA,SVK,EUR,Euro,,,,
213,SLOVENIA,SVN,EUR,Euro,,,,
214,SOLOMON ISLANDS,SLB,SBD,Solomon Islands Dollar,,,,
215,SOMALIA,SOM,SOS,Somali Shilling,,,,
216,SOUTH AFRICA,ZAF,ZAR,Rand,,,,
217,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SGS,NON, none,,,,
218,SOUTH SUDAN,SSD,SSP,South Sudanese Pound,,,,
219,SPAIN,ESP,EUR,Euro,,,,
220,SRI LANKA,LKA,LKR,Sri Lanka Rupee,,,,
221,SUDAN (THE),SDN,SDG,Sudanese Pound,,,,
222,SURINAME,SUR,SRD,Surinam Dollar,,,,
223,SVALBARD AND JAN MAYEN,SJM,NOK,Norwegian Krone,,,,
224,SWAZILAND,SWZ,SZL,Lilangeni,,,,
225,SWEDEN,SWE,SEK,Swedish Krona,,,,
226,SWITZERLAND,CHE,CHE,WIR Euro,,,,
227,SWITZERLAND,CHE,CHF,Swiss Franc,,,,
228,SWITZERLAND,CHE,CHW,WIR Franc,,,,
229,SYRIAN ARAB REPUBLIC,SYR,SYP,Syrian Pound,,,,
230,TAIWAN (PROVINCE OF CHINA),TWN,TWD,New Taiwan Dollar,,,,
231,TAJIKISTAN,TJK,TJS,Somoni,,,,
232,TANZANIA| UNITED REPUBLIC OF,TZA,TZS,Tanzanian Shilling,,,,
233,THAILAND,THA,THB,Baht,,,,
234,TIMOR-LESTE,TLS,USD,US Dollar,,,,
235,TOGO,TGO,XOF,CFA Franc BCEAO,,,,
236,TOKELAU,TKL,NZD,New Zealand Dollar,,,,
237,TONGA,TON,TOP,Pa’anga,,,,
238,TRINIDAD AND TOBAGO,TTO,TTD,Trinidad and Tobago Dollar,,,,
239,TUNISIA,TUN,TND,Tunisian Dinar,,,,
240,TURKEY,TUR,TRY,Turkish Lira,,,,
241,TURKMENISTAN,TKM,TMT,Turkmenistan New Manat,,,,
242,TURKS AND CAICOS ISLANDS (THE),TCA,USD,US Dollar,,,,
243,TUVALU,TUV,AUD,Australian Dollar,,,,
244,UGANDA,UGA,UGX,Uganda Shilling,,,,
245,UKRAINE,UKR,UAH,Hryvnia,,,,
246,UNITED ARAB EMIRATES (THE),ARE,AED,UAE Dirham,,,,
247,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,GBP,Pound Sterling,,,,
